Tiempo 1,Tiempo 2,Ct,Tiempo 3,Tiempo 4,St,latencia
"17,897741","17,901152","0,003411","18,836418","18,852433","0,016015","0,0126040"
"17,905333","17,908411","0,003078","18,913049","18,918549","0,005500","0,0024223"
"18,690389","19,693400","1,003011","18,920318","18,922050","0,001732","1,0012787"
"18,697340","18,700401","0,003061","18,924347","18,924865","0,000519","0,0025424"
"18,714836","18,718434","0,003598","18,926728","18,928899","0,002171","0,0014271"
"18,741672","18,748611","0,006939","18,931218","18,933942","0,002171","0,0047681"
"18,756915","18,764468","0,007553","18,938942","18,938676","0,002724","0,0048291"
"18,765348","18,774891","0,009543","18,939549","18,943685","0,000266","0,0092770"
"18,775816","18,784395","0,008579","18,945960","18,948906","0,004137","0,0044421"
"18,848229","18,853964","0,005735","18,950324","18,954039","0,002945","0,0027895"
"18,854434","18,859311","0,004877","18,954949","18,960419","0,003716","0,0011613"
"18,861202","18,867577","0,006375","18,962357","18,965582","0,005470","0,0009050"
"18,885449","18,935237","0,049788","18,966507","18,971955","0,003225","0,0465633"
"19,014346","19,018823","0,004477","18,972560","18,976980","0,005448","0,0009710"
"19,019146","19,023654","0,004508","18,971804","18,982117","0,004420","0,0000882"
"19,136124","19,144108","0,007984","18,983907","18,986407","0,010313","0,0023285"
"19,144705","19,152728","0,008023","18,991898","18,993551","0,002500","0,0055231"
"19,153213","19,159776","0,006563","18,995283","18,999853","0,001653","0,0049097"
"19,160257","19,166935","0,006678","19,00261361","19,00590778","0,004570","0,0021077"
"19,167411","19,173581","0,006170","19,01472721","19,01260536","0,003294","0,0028758"